Ele	Ecoh	esd	eDFT	nvol	nsd	nDFT
Ag	-2.667	0.004	-2.669	17.715	0.022	18.051
Ag	-2.668	0.004	-2.666	17.611	0.026	17.747
Ag	-2.666	0.004	-2.661	17.691	0.014	17.772
Ag	-2.665	0.005	-2.671	17.754	0.039	17.758
Ag	-2.599	0.006	-2.556	18.234	0.073	19.300
Al	-3.679	0.005	-3.672	16.530	0.043	16.514
Al	-3.672	0.006	-3.673	16.536	0.036	16.562
Al	-3.606	0.008	-3.568	16.400	0.056	16.978
Al	-3.291	0.01	-3.375	24.045	0.063	23.924
Al	-3.405	0.014	-3.304	19.765	0.369	20.084
Au	-3.186	0.008	-3.164	17.667	0.178	17.947
Au	-3.185	0.008	-3.177	17.667	0.183	17.931
Au	-3.127	0.044	-3.156	18.532	0.768	17.156
Au	-3.188	0.001	-3.178	17.649	0.154	17.061
Au	-3.183	0.008	-3.170	17.682	0.189	17.900
Co	-6.178	0.004	-5.978	10.138	0.024	10.268
Co	-6.168	0.017	-5.988	10.564	0.42	10.841
Co	-6.178	0.004	-5.980	10.138	0.029	10.267
Co	-6.011	0.009	-5.778	11.173	0.093	10.718
Co	-5.536	0.031	-5.165	12.715	0.13	11.802
Cu	-3.660	0.003	-3.678	11.928	0.017	11.929
Cu	-3.661	0.003	-3.674	11.918	0.028	11.947
Cu	-3.628	0.003	-3.646	11.984	0.055	12.003
Cu	-3.628	0.004	-3.645	11.974	0.055	11.985
Cu	-3.505	0.002	-3.521	22.371	0.253	22.572
Ge	-4.255	0.001	-4.393	23.492	0.154	23.757
Ge	-4.268	0.003	-4.387	23.682	0.04	23.704
Ge	-4.229	0.005	-4.254	21.470	0.76	21.877
Ge	-4.200	0.003	-4.250	21.193	0.258	21.315
Ge	-4.175	0.002	-4.162	19.146	0.149	19.232
I	-1.335	0.082	-1.440	54.085	2.26	51.215
I	-1.375	0.019	-1.393	47.344	0.165	48.996
I	-1.255	0.009	-1.322	46.214	0.532	47.834
I	-1.254	0.009	-1.340	46.130	0.53	47.570
I	-1.100	0.029	-0.978	36.014	0.463	35.879
Kr	-0.085	0.082	-0.042	66.025	0.93	61.625
Kr	-0.085	0.061	-0.045	62.261	0.904	65.652
Kr	-0.097	0.08	-0.045	62.188	1.961	65.753
Kr	-0.097	0.081	-0.045	62.176	1.952	65.673
Kr	-0.057	0.033	-0.045	66.053	0.933	65.770
Li	-1.856	0.002	-1.857	20.215	0.058	20.293
Li	-1.858	0.002	-1.856	20.134	0.041	20.302
Li	-1.859	0.002	-1.853	19.755	0.462	20.370
Li	-1.859	0.001	-1.851	20.401	0.072	20.386
Li	-1.858	0.001	-1.859	20.404	0.069	20.306
Mo	-10.545	0.045	-10.617	15.643	0.164	15.762
Mo	-10.275	0.006	-10.181	16.154	0.372	15.996
Mo	-10.266	0.001	-10.188	16.128	0.274	16.062
Mo	-9.847	0.029	-9.756	16.502	0.432	16.733
Mo	-9.608	0.014	-9.461	17.683	0.644	17.542
Mg	-1.510	0.002	-1.498	22.717	0.172	23.134
Mg	-1.508	0.002	-1.510	22.635	0.164	22.997
Mg	-1.511	0.003	-1.514	22.564	0.154	22.889
Mg	-1.376	0.001	-1.513	23.899	0.197	22.922
Mg	-1.511	0.003	-1.511	22.582	0.16	22.881
Nb	-9.507	0.081	-9.473	18.343	0.371	18.104
Nb	-9.279	0.064	-9.307	18.616	0.147	18.576
Nb	-9.506	0.081	-9.483	18.344	0.37	18.030
Nb	-9.507	0.081	-9.494	18.341	0.372	17.186
Nb	-8.492	0.119	-8.524	20.949	1.239	19.956
Ni	-4.871	0.005	-4.837	10.854	0.062	10.791
Ni	-4.864	0.009	-4.814	10.820	0.021	10.822
Ni	-4.797	0.009	-4.785	10.766	0.09	10.844
Ni	-4.864	0.009	-4.814	10.820	0.021	10.822
Ni	-4.871	0.004	-4.838	10.852	0.064	10.788
Os	-10.059	0.006	-10.312	14.167	0.249	14.269
Os	-10.098	0.005	-10.172	14.189	0.263	14.326
Os	-9.974	0.024	-10.087	14.500	0.031	14.788
Os	-9.813	0.025	-9.806	19.913	0.502	21.137
Os	-10.098	0.005	-10.169	19.188	0.261	20.521
Pb	-3.449	0.01	-3.469	31.375	0.192	31.828
Pb	-3.451	0.009	-3.467	31.365	0.16	31.609
Pb	-3.425	0.001	-3.422	32.562	0.816	32.001
Pb	-3.419	0.007	-3.408	32.076	0.317	33.777
Pb	-3.005	0.021	-3.201	45.035	0.629	43.657
Pd	-3.803	0.011	-3.775	15.307	0.108	15.282
Pd	-3.791	0.013	-3.764	15.290	0.113	15.295
Pd	-3.803	0.011	-3.774	15.309	0.108	15.248
Pd	-3.803	0.012	-3.786	15.309	0.11	14.520
Pd	-2.966	0.615	-2.646	21.352	3.944	24.304
Pt	-5.894	0.032	-5.926	15.619	0.116	15.603
Pt	-5.804	0.022	-5.912	15.943	0.048	15.783
Pt	-5.871	0.027	-5.863	15.665	0.108	14.959
Pt	-5.827	0.051	-5.804	15.917	0.229	15.071
Pt	-5.150	0.379	-4.849	21.564	3.745	23.973
Re	-10.667	0.012	-10.826	14.876	0.023	14.931
Re	-10.507	0.064	-10.758	24.813	0.093	23.644
Re	-10.670	0.014	-10.807	14.866	0.027	14.944
Re	-10.677	0.016	-10.758	14.852	0.041	14.980
Re	-9.728	0.042	-9.460	17.062	0.324	17.123
Sb	-3.914	0.001	-4.011	31.684	0.113	31.783
Sb	-3.893	0.005	-3.947	30.027	0.307	30.042
Sb	-3.696	0.014	-3.689	27.687	0.135	27.334
Sb	-3.895	0.005	-3.956	29.965	0.329	29.919
Sb	-3.794	0.013	-3.765	27.115	0.653	27.272
Sr	-1.618	0.004	-1.615	55.771	0.555	55.004
Sr	-1.619	0.003	-1.612	55.763	0.563	55.018
Sr	-1.618	0.004	-1.615	55.766	0.558	54.695
Sr	-1.612	0.008	-1.607	55.293	0.239	53.420
Sr	-1.207	0.016	-1.216	59.843	0.459	55.253
Ti	-6.125	0.015	-6.209	17.035	0.085	16.843
Ti	-6.179	0.005	-6.195	16.896	0.062	17.119
Ti	-6.209	0.005	-6.137	16.929	0.038	17.133
Ti	-6.111	0.004	-6.093	17.085	0.109	16.955
Ti	-5.552	0.049	-5.386	18.185	0.241	18.123
Zn	-1.078	0.001	-1.104	15.148	0.091	15.029
Zn	-1.084	0.001	-1.095	15.064	0.105	15.018
Zn	-1.097	0.002	-1.084	15.053	0.043	15.806
Zn	-1.034	0.009	-1.021	15.051	0.224	14.551
Zn	-0.699	0.23	-0.627	22.408	1.197	24.516
Zr	-7.188	0.026	-7.114	23.185	0.074	23.150
Zr	-7.150	0.022	-7.142	23.158	0.078	23.332
Zr	-7.188	0.026	-7.127	23.189	0.074	23.178
