pDNP	psd	pDFT	Ele
2.394	0.034	2.411	Ag
2.484	0.111	2.572	Ag
2.94	0.036	3.063	Ag
3.001	0.421	3.404	Ag
2.394	0.034	2.411	Ag
3.451	0.096	3.589	Ag
2.288	0.005	2.374	Al
2.379	0.09	2.402	Al
2.542	0.035	2.471	Al
2.307	0.045	2.841	Al
2.288	0.005	2.374	Al
2.95	0.569	3.222	Al
2.479	0.114	2.095	Au
2.789	0.138	2.472	Au
2.086	0.858	2.51	Au
3.939	0.165	2.784	Au
2.479	0.114	2.095	Au
2.507	0.117	2.777	Au
2.112	0.071	2.076	Co
2.308	0.105	2.411	Co
2.114	0.071	2.163	Co
3.858	0.101	4.199	Co
2.628	0.07	2.077	Co
3.785	0.207	4.549	Co
4.787	0.252	4.199	Co
4.787	0.252	4.199	Co
2.761	0.036	2.816	Cu
2.846	0.005	2.895	Cu
3.229	0.217	3.547	Cu
2.773	0.016	2.899	Cu
2.774	0.036	2.895	Cu
2.761	0.036	2.899	Cu
2.501	0.251	2.963	Ge
2.501	0.251	2.963	Ge
2.501	0.251	2.964	Ge
2.501	0.251	2.783	Ge
2.501	0.251	2.961	Ge
0.081	0.079	0.003	Kr
0.08	0.07	0.023	Kr
0.134	0.1	0.244	Kr
0.029	0.037	0.008	Kr
0.014	0.059	0.005	Kr
0.041	0.39	0.011	Kr
0.693	0.01	0.673	Li
0.842	0.033	0.713	Li
0.804	0.018	0.671	Li
0.693	0.009	0.673	Li
0.735	0.02	0.595	Li
0.628	0.024	0.485	Li
0.832	0.01	1.026	Mg
1.642	0.007	1.686	Mg
0.79	0.014	0.896	Mg
0.784	0.012	0.841	Mg
1.407	0.041	1.62	Mg
0.781	0.01	0.776	Mg
1.647	0.221	1.62	Mg
0.78	0.01	0.773	Mg
1.645	0.009	1.777	Mg
2.436	0.054	3.904	Mg
1.408	0.041	1.62	Mg
5.392	0.436	3.998	Nb
5.404	0.436	5.966	Nb
4.192	0.397	3.985	Nb
5.419	0.436	3.985	Nb
4.02	0.264	3.985	Nb
4.972	0.277	3.985	Nb
3.66	0.145	3.546	Ni
3.759	0.134	3.68	Ni
4.022	0.141	4.381	Ni
3.78	0.14	4.505	Ni
3.66	0.145	3.546	Ni
3.66	0.145	3.545	Ni
6.697	0.687	7.948	Os
6.743	0.527	7.416	Os
6.746	0.526	7.423	Os
6.293	0.579	7.515	Os
7.057	0.446	7.524	Os
7.473	0.389	7.936	Os
8.423	0.539	9.424	Os
6.688	0.597	7.27	Os
9.212	0.264	9.569	Os
7.744	0.526	7.416	Os
8.879	0.488	9.004	Os
1.257	0.075	1.975	Pb
1.398	0.148	2.026	Pb
1.449	0.206	2.042	Pb
1.363	0.287	2.235	Pb
1.257	0.075	1.975	Pb
1.743	0.496	2.331	Pb
3.451	0.299	3.237	Pd
3.493	0.303	3.506	Pd
3.864	0.317	4.067	Pd
3.453	0.298	3.247	Pd
3.451	0.299	3.235	Pd
3.451	0.299	4.61	Pd
3.734	0.172	4.468	Pt
3.763	0.169	5.305	Pt
4.399	0.227	5.203	Pt
5.763	0.17	6.433	Pt
3.734	0.172	4.468	Pt
4.734	0.172	4.468	Pt
4.543	0.253	5.956	Re
6.198	0.353	7.091	Re
4.587	0.207	5.961	Re
4.506	0.275	5.96	Re
6.197	0.353	7.091	Re
4.504	0.276	5.96	Re
4.581	0.131	6.113	Re
4.544	0.253	5.956	Re
4.554	0.221	6.195	Re
4.543	0.253	5.956	Re
6.216	0.352	6.556	Re
4.589	0.115	6.102	Re
4.554	0.221	6.195	Re
1.752	0.071	2.155	Sr
1.762	0.07	1.952	Sr
1.95	0.062	2.101	Sr
2.1	0.038	2.189	Sr
1.762	0.07	1.952	Sr
1.762	0.07	1.952	Sr
2.265	0.085	2.489	Ti
3.162	0.127	2.515	Ti
2.224	0.053	2.513	Ti
2.221	0.053	2.517	Ti
3.162	0.127	2.515	Ti
1.702	0.049	1.225	Ti
2.298	0.052	2.445	Ti
1.701	0.049	1.223	Ti
2.327	0.064	2.47	Ti
2.515	0.271	2.34	Ti
2.729	0.027	2.217	Ti
2.583	0.121	2.214	Ti
2.397	0.147	2.163	Ti
2.784	0.124	2.273	Ti
2.717	0.128	1.968	Ti
0.462	0.154	0.519	Zn
0.462	0.154	0.519	Zn
0.672	0.101	0.726	Zn
0.672	0.101	0.726	Zn
0.592	0.028	0.512	Zn
0.592	0.028	0.512	Zn
0.609	0.028	0.524	Zn
0.609	0.028	0.524	Zn
0.366	0.042	0.525	Zn
0.61	0.029	0.522	Zn
0.6	0.028	0.5	Zn
0.615	0.025	0.52	Zn
0.604	0.064	0.614	Zn
0.615	0.026	0.52	Zn
0.494	0.043	0.57	Zn
0.6	0.027	0.496	Zn
0.606	0.064	0.691	Zn
0.948	0.095	0.685	Zr
2.402	1.37	1.675	Zr
0.949	0.095	0.687	Zr
1.813	0.069	1.561	Zr
0.948	0.095	0.688	Zr
2.231	0.128	2.44	Zr
0.953	0.095	0.69	Zr
1.397	0.156	1.685	Zr
1.61	0.169	1.796	Zr
1.406	0.083	1.747	Zr
0.948	0.095	0.687	Zr
0.952	0.095	0.692	Zr






