Ele	ID	Ecoh	esd	eDFT	nvol	nsd	nDFT
Ag	bcc	-2.636	0.003	-2.638	18.02	0.09	17.92
Ag	diamond	-1.882	0.009	-1.881	29.57	0.844	29.73
Ag	sc	-2.306	0.007	-2.329	20.62	0.237	20.61
Au	MP-1238808	-2.308	0.008	-2.331	17.67	0.186	17.94
Au	diamond	-3.184	0.007	-3.175	17.68	0.181	17.94
Co	MP-54_S	-6.170	0.018	-6.195	10.33	0.315	10.79
Co	MP-102_S	-6.160	0.059	-13.195	10.12	0.062	10.47
Co	MP-1271679_S	-5.921	0.01	-6.193	11.60	0.05	10.27
Co	MP-1193227_S	-6.011	0.009	-6.065	11.17	0.093	10.72
Co	MP-1072089	-5.986	0.066	-5.675	11.23	0.523	10.84
Co	MP-1183710	-6.173	0.016	-5.987	10.16	0.067	10.25
Co	bcc	-6.160	0.059	-5.754	10.12	0.062	10.47
Co	sc_S	-5.536	0.031	-5.413	12.72	0.13	11.80
Cu	MP-989782	-3.661	0.002	-3.672	11.91	0.045	11.95
Cu	MP-1059259	-3.529	0.009	-3.538	12.56	0.035	12.54
Cu	MP-1056079	-3.660	0.003	-3.677	11.93	0.016	11.93
Cu	diamond	-3.283	0.505	-2.649	15.25	5.358	19.08
Cu	sc	-3.237	0.021	-3.212	14.10	0.107	13.90
I	diamond	-1.420	0.053	-1.029	67.18	3.058	60.03
I	fcc	-1.213	0.184	-1.094	39.30	12.188	35.04
I	sc	-1.245	0.006	-1.265	40.42	1.21	41.30
Kr	diamond	-0.115	0.128	-0.030	102.814	48.534	116.85
Kr	sc	-0.144	0.139	-0.039	106.047	39.021	77.325
Li	MP-10173	-1.857	0.002	-1.858	20.30	0.026	20.30
Li	MP-567337	-1.859	0.002	-1.857	20.40	0.071	20.33
Li	MP-1103107	-1.859	0.002	-1.857	19.79	0.463	20.29
Li	MP-604313	-1.859	0.002	-1.857	19.76	0.458	20.29
Li	diamond	-1.838	0.003	-1.340	20.58	0.355	26.08
Li	sc	-1.732	0.006	-1.742	20.00	0.583	20.38
Mg	MP-110	-1.490	0.004	-1.490	22.48	0.223	22.76
Mg	MP-1056351	-1.490	0.004	-1.490	22.48	0.223	22.76
Mg	MP-1055956	-1.509	0.002	-1.502	22.73	0.176	23.08
Mg	bcc	-1.490	0.004	-1.497	22.48	0.223	22.87
Mg	diamond	-1.459	0.006	-0.725	23.19	0.22	40.40
Mg	sc	-1.169	0.017	-1.143	27.45	0.364	27.40
Nb	diamond	-9.505	0.082	-9.483	18.35	0.369	18.04
Ni	MP-10257_S	-4.864	0.01	-4.871	10.81	0.024	10.88
Ni	MP-1246134	-4.519	0.015	-4.476	12.00	0.045	11.70
Ni	MP-1014111_S	-4.864	0.01	-4.871	10.81	0.024	10.88
Ni	MP-1094136_S	-4.871	0.004	-4.896	10.85	0.065	10.85
Ni	diamond	-3.646	0.045	-3.605	18.63	1.249	16.40
Ni	sc	-4.323	0.013	-4.177	12.71	0.232	12.50
Os	bcc	-9.948	0.051	-9.432	13.95	0.469	14.76
Os	MP-1080694	-9.974	0.024	-10.087	14.50	0.031	14.79
Os	diamond	-8.929	0.878	-9.067	18.98	3.234	21.30
Os	sc	-9.260	0.064	-8.803	16.34	0.328	16.72
Pb	MP-20745	-3.451	0.007	-3.447	31.37	0.242	31.58
Pb	MP-1102666	-3.448	0.009	-3.467	31.43	0.151	31.72
Pb	sc	-3.262	0.014	-3.250	35.31	0.784	34.28
Pd	MP-1186427_S	-3.791	0.013	-3.769	15.29	0.115	15.34
Pd	bcc	-3.710	0.032	-3.742	15.23	0.229	15.39
Pd	sc	-3.315	0.019	-3.269	17.49	0.077	17.77
Pt	2_5COO2H3_S	-5.871	0.027	-5.863	15.67	0.108	14.96
Pt	sc	-5.468	0.081	-5.429	17.90	0.643	18.01
Re	diamond	-9.901	0.975	-9.265	17.74	3.834	22.35
Sb	MP-1179613	-3.881	0	-3.918	32.76	0.484	32.27
Sb	MP-632286	-3.893	0.005	-3.947	30.03	0.307	30.04
Sb	MP-567409	-3.911	0.002	-4.001	31.93	0.202	31.40
Sb	MP-1179618	-3.855	0.012	-3.784	33.04	0.062	34.25
Sb	MP-1236935	-3.836	0.014	-3.837	32.89	0.21	32.97
Sb	MP-567144	-3.757	0.017	0.135	35.58	2.327	36.11
Sb	MP-80	-3.753	0.014	-3.730	27.66	0.249	27.29
Sb	diamond	-3.589	0.067	-3.683	42.94	0.783	42.92
Sr	MP-1056418	-1.618	0.004	-1.617	55.76	0.563	54.69
Sr	MP-867202	-1.618	0.004	-1.615	55.77	0.552	54.77
Sr	MP-567826	-1.612	0.008	-1.610	55.29	0.247	52.99
Sr	MP-19858	-1.365	0.019	-1.386	59.79	1.184	54.50
Sr	MP-639774	-1.210	0.016	-1.218	61.80	0.425	55.56
Ti	MP-1245164	-6.135	0.049	-6.099	17.02	0.03	17.17
Ti	MP-1245006	-6.094	0.002	-6.100	17.09	0.058	17.13
Ti	MP-1245320	-6.107	0.016	-6.088	17.07	0.045	17.18
Ti	MP-1244924_S	-6.095	0.003	-6.102	17.10	0.067	17.15
Ti	MP-1244924	-6.095	0.003	-6.102	17.10	0.067	17.15
Ti	MP-1238818	-5.920	0.016	-5.896	32.30	0.073	34.58
Ti	diamond	-5.664	0.729	-3.930	19.24	3.851	21.28
Zr	diamond	-7.014	0.172	-7.118	24.15	1.225	23.14
Zr	sc	-6.479	0.011	-6.305	24.60	0.578	24.73





