DFT	Surface	Element	PHASE	DNP	sd	size
818	100	Ag	fcc	899	40	y
875	110	Ag	fcc	901	52	y
764	111	Ag	fcc	808	24	y
906	100	Al	fcc	935	33	y
977	110	Al	fcc	1006	10	y
769	111	Al	fcc	863	49	y
861	100	Au	fcc	1061	64	y
909	110	Au	fcc	1071	86	y
710	111	Au	fcc	839	57	y
2108	0001	Co	hcp	1885	185	y
2257	10$\overline{1}$0	Co	hcp	2657	87	y
2462	11$\overline{2}$0	Co	hcp	2344	197	y
1470	100	Cu	fcc	1486	22	y
1561	110	Cu	fcc	1588	83	y
1339	111	Cu	fcc	1321	7	y
1398	100	Ge	dc	1166	19	y
1109	110	Ge	dc	856	85	y
1190	111	Ge	dc	1582	199	y
462	100	Li	bcc	456	13	y
501	110	Li	bcc	497	27	y
544	111	Li	bcc	542	21	y
510	0001	Mg	hcp	674	16	y
597	10$\overline{1}$0	Mg	hcp	1098	73	y
757	11$\overline{2}$0	Mg	hcp	880	17	y
3182	100	Mo	bcc	3746	428	y
2783	110	Mo	bcc	3661	409	y
2962	111	Mo	bcc	3938	448	y
2275	100	Nb	bcc	3252	147	y
2060	110	Nb	bcc	2834	91	y
2339	111	Nb	bcc	3183	87	y
2208	100	Ni	fcc	2090	42	y
2286	110	Ni	fcc	2189	40	y
1924	111	Ni	fcc	1891	24	y
2950	0001	Os	hcp	2711	159	y
3398	10$\overline{1}$0	Os	hcp	3467	948	y
3932	11$\overline{2}$0	Os	hcp	2951	43	y
328	100	Pb	fcc	282	35	y
331	110	Pb	fcc	353	32	y
263	111	Pb	fcc	224	72	y
1522	100	Pd	fcc	1534	155	y
1574	110	Pd	fcc	1643	114	y
1359	111	Pd	fcc	1304	103	y
1856	100	Pt	fcc	1959	242	y
1871	110	Pt	fcc	2202	488	y
1488	111	Pt	fcc	1854	142	y
2566	0001	Re	hcp	2385	144	y
2859	10$\overline{1}$0	Re	hcp	4347	44	y
3075	11$\overline{2}$0	Re	hcp	3556	73	y
341	100	Sr	fcc	322	1	y
407	110	Sr	fcc	330	0	y
342	111	Sr	fcc	299	5	y
1975	0001	Ti	hcp	1808	104	y
2031	10$\overline{1}$0	Ti	hcp	2052	142	y
1887	11$\overline{2}$0	Ti	hcp	1833	65	y
334	0001	Zn	hcp	576	74	y
707	10$\overline{1}$0	Zn	hcp	915	43	y
921	11$\overline{2}$0	Zn	hcp	748	43	y
1599	0001	Zr	hcp	1669	78	y
1660	10$\overline{1}$0	Zr	hcp	2066	184	y
1648	11$\overline{2}$0	Zr	hcp	1804	113	y


