#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      9.99e+01      6.94e-01      9.86e-01      8.72e-01    1.0e-03
   2000      2.73e+01      5.05e-02      2.71e-01      2.07e-01    9.9e-04
   4000      1.89e+01      3.32e-01      1.78e-01      3.25e-01    9.9e-04
   6000      4.57e+01      1.97e-01      4.32e-01      1.18e+00    9.8e-04
   8000      1.82e+01      1.41e-01      1.76e-01      2.50e-01    9.7e-04
  10000      1.85e+01      6.28e-01      1.80e-01      1.14e-01    9.7e-04
  12000      3.73e+01      2.06e+00      3.52e-01      7.29e-01    9.6e-04
  14000      2.08e+01      8.71e-01      1.78e-01      5.36e-01    9.5e-04
  16000      1.85e+01      1.10e-01      1.81e-01      2.19e-01    9.5e-04
  18000      1.65e+01      5.16e-01      1.61e-01      1.27e-01    9.4e-04
  20000      2.17e+01      1.92e-01      1.91e-01      8.21e-01    9.3e-04
  22000      9.37e+00      1.96e-01      9.26e-02      4.64e-02    9.3e-04
  24000      2.44e+01      8.34e-01      2.22e-01      5.04e-01    9.2e-04
  26000      1.25e+01      1.44e-02      1.21e-01      1.75e-01    9.1e-04
  28000      2.39e+01      1.29e-02      2.39e-01      4.38e-02    9.1e-04
  30000      1.99e+01      1.81e-01      1.96e-01      1.61e-01    9.0e-04
  32000      3.23e+01      5.61e-01      2.83e-01      1.19e+00    9.0e-04
  34000      3.73e+01      9.69e-02      3.72e-01      1.80e-01    8.9e-04
  36000      5.10e+01      1.74e+00      4.77e-01      1.31e+00    8.8e-04
  38000      2.95e+01      6.83e-02      2.93e-01      4.45e-01    8.8e-04
  40000      8.52e+01      1.88e+00      1.07e-01      4.68e+00    8.7e-04
  42000      5.07e+01      3.89e+00      4.48e-01      5.15e-01    8.7e-04
  44000      3.20e+01      2.78e-01      3.16e-01      2.61e-01    8.6e-04
  46000      2.44e+01      5.55e-01      1.55e-01      1.04e+00    8.5e-04
  48000      3.92e+01      4.81e-01      3.88e-01      3.99e-01    8.5e-04
  50000      3.07e+01      1.34e+00      2.99e-01      3.75e-01    8.4e-04
  52000      7.21e+01      7.78e-01      2.65e-01      3.74e+00    8.4e-04
  54000      5.47e+01      6.80e-01      3.53e-01      2.33e+00    8.3e-04
  56000      2.22e+01      3.47e-01      2.17e-01      2.31e-01    8.3e-04
  58000      4.77e+01      1.80e-01      4.76e-01      2.28e-01    8.2e-04
  60000      3.82e+01      2.45e+00      3.65e-01      4.46e-01    8.1e-04
  62000      1.46e+01      1.58e-01      1.40e-01      2.17e-01    8.1e-04
  64000      1.96e+01      5.79e-01      1.68e-01      5.26e-01    8.0e-04
  66000      1.33e+01      5.13e-01      1.24e-01      2.04e-01    8.0e-04
  68000      4.49e+01      5.61e-01      4.48e-01      1.63e-01    7.9e-04
  70000      1.89e+01      4.75e-01      1.46e-01      9.46e-01    7.9e-04
  72000      1.11e+02      6.70e-01      1.11e+00      1.53e-01    7.8e-04
  74000      5.58e+01      8.58e-01      4.50e-01      2.52e+00    7.8e-04
  76000      2.41e+01      3.20e-02      2.39e-01      1.61e-01    7.7e-04
  78000      2.08e+01      1.74e-01      1.70e-01      6.73e-01    7.7e-04
  80000      8.72e+00      1.29e-01      8.68e-02      2.15e-02    7.6e-04
  82000      4.75e+01      7.33e-02      4.58e-01      1.01e+00    7.6e-04
  84000      1.58e+01      1.66e-01      1.48e-01      4.33e-01    7.5e-04
  86000      2.63e+01      3.32e-01      2.37e-01      6.34e-01    7.5e-04
  88000      1.84e+01      1.91e-01      1.83e-01      6.91e-02    7.4e-04
  90000      1.96e+01      1.74e-01      1.92e-01      2.71e-01    7.4e-04
  92000      3.31e+01      2.19e-01      3.14e-01      5.68e-01    7.3e-04
  94000      1.46e+01      1.20e-01      1.37e-01      2.82e-01    7.3e-04
  96000      1.71e+01      7.88e-02      1.58e-01      3.60e-01    7.2e-04
  98000      3.86e+01      4.20e-01      3.68e-01      8.80e-01    7.2e-04
 100000      2.25e+01      2.45e-02      2.03e-01      5.45e-01    7.1e-04
 102000      1.65e+01      2.17e-01      1.63e-01      1.96e-01    7.1e-04
 104000      4.90e+01      2.87e-01      4.90e-01      1.85e-01    7.0e-04
 106000      1.69e+01      1.41e-01      1.65e-01      2.11e-01    7.0e-04
 108000      2.57e+01      1.31e-01      2.54e-01      4.73e-01    6.9e-04
 110000      1.54e+01      7.84e-02      1.52e-01      2.27e-01    6.9e-04
 112000      9.08e+00      9.29e-02      8.61e-02      1.59e-01    6.8e-04
 114000      1.12e+01      2.29e-03      1.10e-01      1.28e-01    6.8e-04
 116000      1.37e+01      4.98e-02      1.36e-01      1.17e-01    6.7e-04
 118000      1.93e+01      1.68e-01      1.92e-01      1.11e-01    6.7e-04
 120000      2.08e+01      3.30e-02      2.05e-01      1.96e-01    6.6e-04
 122000      3.18e+01      1.21e-01      3.18e-01      5.77e-02    6.6e-04
 124000      2.47e+01      6.04e-02      1.73e-01      9.81e-01    6.5e-04
 126000      1.08e+01      1.40e-01      9.87e-02      2.39e-01    6.5e-04
 128000      2.00e+01      2.92e-01      1.75e-01      7.66e-01    6.5e-04
 130000      3.46e+01      1.84e-01      3.39e-01      3.73e-01    6.4e-04
 132000      1.87e+01      4.19e-02      1.85e-01      1.36e-01    6.4e-04
