#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      2.40e+02      1.33e-01      2.34e+00      2.46e+00    1.0e-03
   2000      4.50e+01      2.81e+00      3.62e-01      1.20e+00    9.9e-04
   4000      7.59e+00      1.45e-01      7.54e-02      6.35e-03    9.9e-04
   6000      2.67e+01      2.28e-01      2.66e-01      2.53e-02    9.8e-04
   8000      2.59e+01      2.90e-01      2.46e-01      4.50e-01    9.7e-04
  10000      9.99e+00      1.12e-01      9.78e-02      1.08e-01    9.7e-04
  12000      1.06e+01      2.23e-01      1.04e-01      7.37e-02    9.6e-04
  14000      1.79e+01      1.26e-01      1.67e-01      5.17e-01    9.5e-04
  16000      2.92e+01      4.60e-01      2.81e-01      3.31e-01    9.5e-04
  18000      5.52e+00      5.29e-02      4.93e-02      1.12e-01    9.4e-04
  20000      8.82e+00      8.28e-02      7.86e-02      3.14e-01    9.3e-04
  22000      4.01e+00      4.03e-02      2.71e-02      1.63e-01    9.3e-04
  24000      5.54e+00      4.39e-01      4.94e-02      1.70e-02    9.2e-04
  26000      1.44e+01      3.83e-01      7.74e-02      9.54e-01    9.1e-04
  28000      1.55e+01      3.33e-02      1.36e-01      3.46e-01    9.1e-04
  30000      2.32e+01      2.30e-01      1.89e-01      6.08e-01    9.0e-04
  32000      1.04e+01      2.21e-03      9.69e-02      1.71e-01    9.0e-04
  34000      9.71e+00      5.83e-02      9.31e-02      1.24e-01    8.9e-04
  36000      9.14e+00      4.99e-02      8.72e-02      1.53e-01    8.8e-04
  38000      8.71e+01      3.91e-02      8.69e-01      3.11e-01    8.8e-04
  40000      6.97e+00      1.66e-02      6.84e-02      7.49e-02    8.7e-04
  42000      1.97e+01      5.24e-02      1.96e-01      6.36e-02    8.7e-04
  44000      1.62e+01      2.38e-01      1.10e-01      9.67e-01    8.6e-04
  46000      1.36e+01      1.03e-01      1.27e-01      3.80e-01    8.5e-04
  48000      7.68e+00      5.92e-02      7.49e-02      1.34e-01    8.5e-04
  50000      9.69e+01      4.05e-01      9.67e-01      2.38e-01    8.4e-04
  52000      5.97e+01      3.89e-02      5.54e-01      1.02e+00    8.4e-04
  54000      1.96e+01      1.90e-01      1.90e-01      2.12e-01    8.3e-04
  56000      1.98e+01      2.92e-01      6.70e-02      1.02e+00    8.3e-04
  58000      2.45e+01      8.15e-01      9.51e-02      1.23e+00    8.2e-04
  60000      3.17e+01      5.57e-02      3.16e-01      1.10e-01    8.1e-04
  62000      1.81e+01      7.11e-02      1.81e-01      4.93e-02    8.1e-04
  64000      4.41e+00      1.49e-02      4.24e-02      6.71e-02    8.0e-04
  66000      9.88e+00      1.41e-02      9.81e-02      5.61e-02    8.0e-04
  68000      1.07e+01      1.58e-02      7.05e-02      4.45e-01    7.9e-04
  70000      9.48e+00      3.91e-02      1.74e-02      5.21e-01    7.9e-04
  72000      3.87e+01      1.79e-01      3.80e-01      4.17e-01    7.8e-04
  74000      2.96e+01      4.07e-02      2.66e-01      1.02e+00    7.8e-04
  76000      1.19e+01      1.56e-01      1.10e-01      2.47e-01    7.7e-04
  78000      2.41e+01      6.27e-01      1.14e-01      1.17e+00    7.7e-04
  80000      6.58e+00      1.86e-01      2.95e-02      3.24e-01    7.6e-04
  82000      1.43e+01      4.13e-02      1.39e-01      1.64e-01    7.6e-04
  84000      1.24e+01      3.80e-01      9.94e-02      3.98e-01    7.5e-04
  86000      1.13e+01      3.02e-02      1.12e-01      5.72e-02    7.5e-04
  88000      1.81e+01      6.62e-02      1.81e-01      8.21e-03    7.4e-04
  90000      6.71e+00      3.11e-01      6.30e-02      8.33e-02    7.4e-04
  92000      1.06e+01      9.45e-02      9.98e-02      2.81e-01    7.3e-04
  94000      1.12e+01      2.98e-01      1.04e-01      3.31e-01    7.3e-04
  96000      5.95e+00      3.82e-02      5.35e-02      1.46e-01    7.2e-04
  98000      1.38e+01      6.86e-02      1.31e-01      2.55e-01    7.2e-04
 100000      1.61e+01      9.88e-02      1.60e-01      7.56e-02    7.1e-04
 102000      4.72e+00      2.41e-02      1.45e-02      3.55e-01    7.1e-04
 104000      2.14e+01      1.42e-01      2.13e-01      9.62e-02    7.0e-04
 106000      2.98e+01      1.39e-02      2.98e-01      9.73e-02    7.0e-04
 108000      1.36e+01      1.58e-01      1.24e-01      3.10e-01    6.9e-04
 110000      3.05e+01      1.38e-01      7.37e-02      1.66e+00    6.9e-04
