#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      1.02e+02      1.78e-01      1.02e+00      2.59e-01    1.0e-03
   2000      3.44e+01      2.29e+00      3.15e-01      2.68e-01    9.9e-04
   4000      1.28e+02      2.04e+00      1.27e+00      7.25e-01    9.9e-04
   6000      4.37e+01      4.69e-01      4.10e-01      8.35e-01    9.8e-04
   8000      3.40e+01      2.73e-02      3.40e-01      9.97e-02    9.7e-04
  10000      4.15e+01      1.22e+00      3.97e-01      5.52e-01    9.7e-04
  12000      1.94e+01      1.12e+00      1.29e-01      1.09e+00    9.6e-04
  14000      2.95e+01      6.87e-01      2.64e-01      7.03e-01    9.5e-04
  16000      1.73e+01      6.34e-02      1.73e-01      5.91e-02    9.5e-04
  18000      2.65e+01      1.55e-01      2.65e-01      7.66e-02    9.4e-04
  20000      7.17e+01      7.84e-01      6.91e-01      1.50e+00    9.3e-04
  22000      2.61e+01      1.25e+00      2.53e-01      3.29e-01    9.3e-04
  24000      1.53e+01      2.82e-01      1.43e-01      3.05e-01    9.2e-04
  26000      2.29e+01      3.31e-01      1.99e-01      6.32e-01    9.1e-04
  28000      1.41e+01      2.25e-01      1.40e-01      1.16e-01    9.1e-04
  30000      1.65e+01      8.07e-01      1.57e-01      1.34e-01    9.0e-04
  32000      1.18e+01      3.74e-02      9.88e-02      5.30e-01    9.0e-04
  34000      2.09e+01      1.25e-01      1.95e-01      4.14e-01    8.9e-04
  36000      1.53e+01      3.12e-01      1.45e-01      3.82e-01    8.8e-04
  38000      5.09e+01      1.03e+00      3.64e-01      1.96e+00    8.8e-04
  40000      2.25e+02      2.89e-01      2.20e+00      2.50e+00    8.7e-04
  42000      1.21e+01      8.34e-02      1.18e-01      2.09e-01    8.7e-04
  44000      1.10e+01      6.88e-02      1.08e-01      1.60e-01    8.6e-04
  46000      1.11e+01      1.86e-01      9.88e-02      3.91e-01    8.5e-04
  48000      1.27e+02      1.67e-01      1.25e+00      1.68e+00    8.5e-04
  50000      3.00e+01      5.14e-01      2.92e-01      5.49e-01    8.4e-04
  52000      3.39e+01      8.50e-01      3.20e-01      5.61e-01    8.4e-04
  54000      1.06e+01      1.03e-01      9.60e-02      2.44e-01    8.3e-04
  56000      3.87e+01      7.83e-01      3.83e-01      3.82e-01    8.3e-04
  58000      1.50e+01      1.73e-01      1.46e-01      1.81e-01    8.2e-04
  60000      5.99e+00      6.31e-02      5.46e-02      1.93e-01    8.1e-04
  62000      3.59e+01      1.30e+00      3.38e-01      8.55e-01    8.1e-04
  64000      1.52e+01      1.40e-01      1.50e-01      1.90e-01    8.0e-04
  66000      1.84e+01      1.85e-01      1.32e-01      7.01e-01    8.0e-04
  68000      6.54e+01      1.30e-02      6.15e-01      1.76e+00    7.9e-04
  70000      8.92e+00      5.02e-02      8.79e-02      1.19e-01    7.9e-04
  72000      1.02e+01      3.90e-02      7.54e-02      3.85e-01    7.8e-04
  74000      1.41e+01      1.53e-01      1.38e-01      1.43e-01    7.8e-04
  76000      9.01e+00      1.08e-01      8.84e-02      1.33e-01    7.7e-04
  78000      2.48e+01      7.98e-02      2.47e-01      1.97e-01    7.7e-04
  80000      2.76e+01      2.88e-01      2.03e-01      1.02e+00    7.6e-04
  82000      8.59e+00      4.08e-03      8.35e-02      1.58e-01    7.6e-04
  84000      6.40e+01      4.34e-01      6.08e-01      1.09e+00    7.5e-04
  86000      8.57e+00      1.87e-01      6.45e-02      3.10e-01    7.5e-04
  88000      1.24e+01      9.41e-02      1.23e-01      8.62e-02    7.4e-04
  90000      1.05e+01      1.25e-01      1.03e-01      1.51e-01    7.4e-04
  92000      9.52e+00      8.84e-02      9.43e-02      6.89e-02    7.3e-04
  94000      8.25e+00      5.60e-02      8.15e-02      9.94e-02    7.3e-04
  96000      1.33e+01      1.63e-01      1.32e-01      1.54e-01    7.2e-04
  98000      1.02e+01      8.76e-02      1.02e-01      5.34e-02    7.2e-04
 100000      1.31e+01      2.58e-01      1.19e-01      2.84e-01    7.1e-04
 102000      4.79e+00      2.82e-02      4.53e-02      1.23e-01    7.1e-04
 104000      2.06e+01      2.71e-02      2.06e-01      8.95e-02    7.0e-04
 106000      1.69e+01      6.41e-02      1.30e-01      6.01e-01    7.0e-04
 108000      1.15e+01      5.56e-02      1.05e-01      3.75e-01    6.9e-04
 110000      8.48e+00      7.93e-02      8.28e-02      1.40e-01    6.9e-04
 112000      6.23e+01      9.12e-01      6.04e-01      7.91e-01    6.8e-04
 114000      2.48e+01      5.00e-02      2.44e-01      2.36e-01    6.8e-04
 116000      8.92e+00      1.01e-02      7.22e-02      2.88e-01    6.7e-04
 118000      1.17e+01      2.37e-02      1.17e-01      9.22e-02    6.7e-04
 120000      3.77e+01      3.04e-01      3.74e-01      3.93e-01    6.6e-04
