#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      3.02e+02      2.39e-01      2.77e+00      6.71e+00    1.0e-03
   2000      2.89e+02      2.82e+01      2.32e+00      3.30e+00    9.9e-04
   4000      2.33e+02      2.52e+01      1.82e+00      1.89e+00    9.9e-04
   6000      1.93e+02      3.56e+01      1.28e+00      1.82e+00    9.8e-04
   8000      1.14e+03      4.81e+01      1.10e+01      2.77e+00    9.7e-04
  10000      5.74e+01      1.20e+00      5.68e-01      2.54e-01    9.7e-04
  12000      5.81e+01      2.21e-02      5.69e-01      6.54e-01    9.6e-04
  14000      1.25e+02      1.97e+01      3.96e-01      7.03e+00    9.5e-04
  16000      1.24e+02      1.18e+01      5.41e-01      4.96e+00    9.5e-04
  18000      6.80e+01      3.13e+00      4.74e-01      2.54e+00    9.4e-04
  20000      8.25e+02      5.85e+00      7.66e+00      1.71e+01    9.3e-04
  22000      3.61e+01      1.07e+00      3.46e-01      7.33e-01    9.3e-04
  24000      2.21e+02      8.70e+00      1.77e+00      6.82e+00    9.2e-04
  26000      5.70e+01      3.83e-01      5.27e-01      1.20e+00    9.1e-04
  28000      1.02e+02      5.41e-01      9.12e-01      2.49e+00    9.1e-04
  30000      6.06e+01      4.78e-01      6.03e-01      2.41e-01    9.0e-04
  32000      9.38e+01      5.75e+00      7.51e-01      4.05e+00    9.0e-04
  34000      2.84e+01      3.29e-01      2.47e-01      7.85e-01    8.9e-04
  36000      1.79e+02      7.52e-01      1.70e+00      3.16e+00    8.8e-04
  38000      5.27e+01      2.45e+00      5.18e-01      1.58e-01    8.8e-04
  40000      2.57e+02      1.34e+00      2.51e+00      3.07e+00    8.7e-04
  42000      1.29e+02      1.36e-01      1.26e+00      1.64e+00    8.7e-04
  44000      1.33e+02      5.36e-01      1.30e+00      1.39e+00    8.6e-04
  46000      2.88e+01      2.83e-01      2.87e-01      7.25e-02    8.5e-04
  48000      3.82e+01      2.50e-02      3.74e-01      6.21e-01    8.5e-04
  50000      4.20e+01      3.07e-01      3.46e-01      1.94e+00    8.4e-04
  52000      4.61e+01      5.44e+00      3.86e-01      2.49e+00    8.4e-04
  54000      2.79e+02      3.49e+00      2.67e+00      4.50e+00    8.3e-04
  56000      5.36e+01      7.30e-01      5.28e-01      4.73e-01    8.3e-04
  58000      6.68e+01      4.61e-01      5.75e-01      2.69e+00    8.2e-04
  60000      1.85e+02      1.19e+00      1.84e+00      9.42e-01    8.1e-04
  62000      4.60e+01      9.45e-01      4.02e-01      1.19e+00    8.1e-04
  64000      1.22e+02      1.60e+00      1.18e+00      2.30e+00    8.0e-04
  66000      3.53e+02      4.57e-01      3.38e+00      5.76e+00    8.0e-04
  68000      7.32e+01      2.14e-01      7.29e-01      5.38e-01    7.9e-04
  70000      1.75e+02      1.88e+00      1.74e+00      6.85e-01    7.9e-04
  72000      2.07e+01      3.86e-01      1.99e-01      4.13e-01    7.8e-04
  74000      2.56e+02      1.27e+00      2.54e+00      1.74e+00    7.8e-04
  76000      2.51e+01      3.49e-01      2.36e-01      4.74e-01    7.7e-04
  78000      4.79e+02      2.25e+01      1.81e+00      2.33e+01    7.7e-04
  80000      2.29e+02      1.14e+00      1.86e+00      7.53e+00    7.6e-04
  82000      2.43e+01      2.01e-01      2.39e-01      3.01e-01    7.6e-04
  84000      4.64e+01      1.35e-01      4.55e-01      7.12e-01    7.5e-04
  86000      7.64e+01      1.16e+00      7.53e-01      9.30e-01    7.5e-04
  88000      4.84e+01      3.95e-01      4.81e-01      2.84e-01    7.4e-04
  90000      1.50e+01      4.45e-02      1.41e-01      4.02e-01    7.4e-04
  92000      4.50e+01      8.28e-01      4.34e-01      8.88e-01    7.3e-04
  94000      4.26e+01      2.98e-02      3.91e-01      1.34e+00    7.3e-04
  96000      1.62e+02      2.60e+00      1.61e+00      3.46e-01    7.2e-04
  98000      2.43e+02      1.53e-01      2.43e+00      3.35e-01    7.2e-04
 100000      2.30e+02      3.16e-01      2.30e+00      7.46e-01    7.1e-04
 102000      2.28e+02      3.28e+00      2.10e+00      4.89e+00    7.1e-04
 104000      7.51e+02      2.68e+00      7.48e+00      4.74e+00    7.0e-04
 106000      3.62e+01      2.63e-01      3.61e-01      1.29e-01    7.0e-04
 108000      7.99e+01      3.64e+00      7.44e-01      1.16e+00    6.9e-04
 110000      4.30e+01      5.40e-01      4.30e-01      7.81e-02    6.9e-04
 112000      3.99e+01      1.05e+00      2.28e-01      2.57e+00    6.8e-04
 114000      2.59e+01      4.20e-02      2.55e-01      2.66e-01    6.8e-04
 116000      5.90e+01      5.73e-01      4.91e-01      1.82e+00    6.7e-04
 118000      1.05e+02      1.43e-01      1.04e+00      7.02e-01    6.7e-04
 120000      2.66e+02      8.72e-01      2.64e+00      1.56e+00    6.6e-04
 122000      6.10e+01      3.73e-01      5.80e-01      1.04e+00    6.6e-04
 124000      3.10e+02      8.76e-01      3.07e+00      2.32e+00    6.5e-04
 126000      2.60e+03      9.04e+00      2.60e+01      5.04e+00    6.5e-04
 128000      1.84e+01      1.11e+00      1.62e-01      5.83e-01    6.5e-04
 130000      2.03e+01      3.24e-02      1.98e-01      3.75e-01    6.4e-04
 132000      4.70e+02      7.81e+00      4.57e+00      5.62e+00    6.4e-04
 134000      1.78e+01      1.67e-01      1.43e-01      5.84e-01    6.3e-04
 136000      2.92e+01      5.43e-01      2.90e-01      6.69e-02    6.3e-04
 138000      6.59e+01      5.62e-01      5.80e-01      1.71e+00    6.2e-04
 140000      1.37e+02      8.91e-01      1.15e+00      4.14e+00    6.2e-04
 142000      1.07e+01      5.85e-01      8.79e-02      4.43e-01    6.2e-04
 144000      1.28e+02      1.91e+00      1.20e+00      2.32e+00    6.1e-04
 146000      5.85e+01      1.58e+00      4.39e-01      2.10e+00    6.1e-04
 148000      4.45e+01      6.66e-01      4.22e-01      7.43e-01    6.0e-04
 150000      4.21e+01      3.01e+00      3.69e-01      6.13e-01    6.0e-04
