#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      1.23e+02      1.36e+00      1.19e+00      2.40e+00    1.0e-03
   2000      2.87e+02      3.18e+01      2.01e+00      5.47e+00    9.9e-04
   4000      1.10e+02      1.22e+01      8.07e-01      1.51e+00    9.9e-04
   6000      9.67e+01      5.96e+00      8.98e-01      6.69e-01    9.8e-04
   8000      8.91e+01      1.29e+01      7.24e-01      4.13e-01    9.7e-04
  10000      5.33e+01      1.02e+00      5.03e-01      9.35e-01    9.7e-04
  12000      1.08e+02      5.69e+00      1.05e+00      9.30e-01    9.6e-04
  14000      1.55e+02      1.88e+01      1.06e+00      2.08e+00    9.5e-04
  16000      8.51e+01      1.31e+01      5.23e-01      3.31e+00    9.5e-04
  18000      1.23e+02      6.38e+00      9.42e-01      3.97e+00    9.4e-04
  20000      3.25e+01      2.17e+00      2.98e-01      2.65e-01    9.3e-04
  22000      8.26e+01      9.83e-01      7.77e-01      1.54e+00    9.3e-04
  24000      9.22e+01      9.25e-01      7.91e-01      3.63e+00    9.2e-04
  26000      1.40e+03      4.46e+00      1.40e+01      3.86e+00    9.1e-04
  28000      7.15e+01      9.49e+00      4.35e-01      1.03e+00    9.1e-04
  30000      3.16e+01      2.69e-01      3.07e-01      4.19e-01    9.0e-04
  32000      4.40e+01      9.41e-01      4.00e-01      1.37e+00    9.0e-04
  34000      6.87e+01      1.11e+00      6.85e-01      4.26e-01    8.9e-04
  36000      8.55e+01      7.45e-02      8.55e-01      2.56e-01    8.8e-04
  38000      5.65e+01      1.09e+00      5.51e-01      6.13e-01    8.8e-04
  40000      6.09e+02      7.07e+00      6.07e+00      1.45e+00    8.7e-04
  42000      5.45e+01      4.89e-01      5.42e-01      4.17e-01    8.7e-04
  44000      1.67e+02      6.31e+00      1.51e+00      3.45e+00    8.6e-04
  46000      5.18e+01      1.41e-02      5.11e-01      4.64e-01    8.5e-04
  48000      4.29e+01      7.47e-02      4.09e-01      7.21e-01    8.5e-04
  50000      5.55e+01      6.31e-01      5.54e-01      1.64e-01    8.4e-04
  52000      6.56e+01      1.10e-01      6.55e-01      2.03e-01    8.4e-04
  54000      8.42e+01      5.14e-02      7.86e-01      2.31e+00    8.3e-04
  56000      7.56e+01      5.07e-01      7.53e-01      3.90e-01    8.3e-04
